cont_title,dma,cont_recog_start_time,cont_recog_end_time,show_name,genre,overview
Yellowstone,Nashville,11/26/22 0:40,11/26/22 0:41,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
The Five,New York,11/26/22 0:00,11/26/22 0:04,The Five,News,the five is an american talk show on fox news channel featuring a rotating panel of contributors who discuss current political issues and pop culture the show premiered in july 2011 replacing the glenn beck program and airs on weekdays at 500 pm et with replays at 200 am et    on october 3 2011 after successful ratings and high popularity fox news announced that the five would become the permanent 5pm series as the program was previously announced to last only during the summer    the five is currently the secondmostwatched program in all of cable news in the united states placing only behind the oreilly factor
Yellowstone,Chattanooga,11/26/22 0:30,11/26/22 0:41,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
Yellowstone,Sioux City,11/26/22 0:00,11/26/22 0:30,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
Yellowstone,Philadelphia,11/26/22 0:37,11/26/22 0:41,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
The White Lotus,Norfolk-Portsmth-Newpt Nws,11/26/22 0:54,11/26/22 0:56,The White Lotus,Animation,Follow the exploits of various guests and employees at an exclusive tropical resort over the span of a week as with each passing day a darker complexity emerges in these pictureperfect travelers the hotels cheerful employees and the idyllic locale itself
Yellowstone,Sioux Falls(Mitchell),11/26/22 0:23,11/26/22 0:23,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
Yellowstone,Cleveland-Akron (Canton),11/26/22 0:46,11/26/22 0:59,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
Yellowstone,Wichita-Hutchinson Plus,11/26/22 0:30,11/26/22 0:43,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
The Five,Louisville,11/26/22 0:12,11/26/22 0:39,The Five,News,the five is an american talk show on fox news channel featuring a rotating panel of contributors who discuss current political issues and pop culture the show premiered in july 2011 replacing the glenn beck program and airs on weekdays at 500 pm et with replays at 200 am et    on october 3 2011 after successful ratings and high popularity fox news announced that the five would become the permanent 5pm series as the program was previously announced to last only during the summer    the five is currently the secondmostwatched program in all of cable news in the united states placing only behind the oreilly factor
Yellowstone,Gainesville,11/26/22 0:00,11/26/22 0:22,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
Yellowstone,Washington DC (Hagrstwn),11/26/22 0:00,11/26/22 0:30,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
Friends,Phoenix (Prescott),11/26/22 0:30,11/26/22 0:59,Friends,Drama,Six young people from New York City on their own and struggling to survive in the real world find the companionship comfort and support they get from each other to be the perfect antidote to the pressures of life
Yellowstone,St. Louis,11/26/22 0:04,11/26/22 0:08,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
Yellowstone,Odessa-Midland,11/26/22 0:30,11/26/22 0:59,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
Yellowstone,Cleveland-Akron (Canton),11/26/22 0:38,11/26/22 0:43,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
Yellowstone,Gainesville,11/26/22 0:30,11/26/22 0:59,Yellowstone,Comedy,Follow the violent world of the Dutton family who controls the largest contiguous ranch in the United States Led by their patriarch John Dutton the family defends their property against constant attack by land developers an Indian reservation and Americas first National Park
